snp.dists.0.8.2,variable,value,same_period
SBV005_plate01,SBV005_plate01,0,0
SBV007_plate01,SBV005_plate01,56,1
SBV010_plate01,SBV005_plate01,63,0
SBV011_plate01,SBV005_plate01,90,0
SBV019_plate01,SBV005_plate01,69,0
SBV021_plate01,SBV005_plate01,74,0
SBV022_plate01,SBV005_plate01,45,0
SBV023_plate01,SBV005_plate01,53,1
SBV024_plate01,SBV005_plate01,69,0
SBV025_plate01,SBV005_plate01,49,0
SBV027_plate01,SBV005_plate01,48,0
SBV029_plate01,SBV005_plate01,69,0
SBV030_plate01,SBV005_plate01,51,0
SBV032_plate01,SBV005_plate01,72,0
SBV033_plate01,SBV005_plate01,53,0
SBV035_plate01,SBV005_plate01,51,1
SBV036_plate01,SBV005_plate01,53,1
SBV037_plate01,SBV005_plate01,51,1
SBV038_plate01,SBV005_plate01,55,1
SBV039_plate01,SBV005_plate01,55,1
SBV040_plate03,SBV005_plate01,56,1
SBV041_plate01,SBV005_plate01,52,1
SBV042_plate01,SBV005_plate01,52,1
SBV043_plate01,SBV005_plate01,55,1
SBV044_plate01,SBV005_plate01,54,1
SBV045_plate01,SBV005_plate01,51,1
SBV046_plate01,SBV005_plate01,53,1
SBV047_plate01,SBV005_plate01,52,1
SBV048_plate01,SBV005_plate01,51,1
SBV049_plate01,SBV005_plate01,51,1
SBV050_plate01,SBV005_plate01,53,1
SBV051_plate01,SBV005_plate01,51,1
SBV052_plate01,SBV005_plate01,55,1
SBV053_plate01,SBV005_plate01,51,1
SBV054_plate01,SBV005_plate01,54,1
SBV055_plate01,SBV005_plate01,54,1
SBV057_plate01,SBV005_plate01,49,1
SBV058_plate01,SBV005_plate01,56,1
SBV059_plate01,SBV005_plate01,52,1
SBV060_plate01,SBV005_plate01,52,1
SBV061_plate01,SBV005_plate01,53,1
SBV062_plate01,SBV005_plate01,55,1
SBV063_plate01,SBV005_plate01,51,1
SBV064_plate01,SBV005_plate01,53,1
SBV065_plate03,SBV005_plate01,55,1
SBV067_plate01,SBV005_plate01,53,1
SBV068_plate01,SBV005_plate01,55,1
SBV069_plate01,SBV005_plate01,52,1
SBV070_plate01,SBV005_plate01,54,1
SBV071_plate01,SBV005_plate01,51,1
SBV072_plate02,SBV005_plate01,59,1
SBV073_plate03,SBV005_plate01,56,1
SBV074_plate03,SBV005_plate01,53,1
SBV075_plate02,SBV005_plate01,55,1
SBV076_plate02,SBV005_plate01,51,1
SBV077_plate02,SBV005_plate01,52,1
SBV078_plate02,SBV005_plate01,54,1
SBV079_plate02,SBV005_plate01,53,1
SBV080_plate02,SBV005_plate01,54,1
SBV081_plate02,SBV005_plate01,52,1
SBV082_plate02,SBV005_plate01,52,1
SBV083_plate02,SBV005_plate01,52,1
SBV084_plate02,SBV005_plate01,51,1
SBV085_plate03,SBV005_plate01,54,1
SBV087_plate02,SBV005_plate01,54,1
SBV088_plate02,SBV005_plate01,57,1
SBV089_plate02,SBV005_plate01,53,1
SBV090_plate02,SBV005_plate01,52,1
SBV091_plate02,SBV005_plate01,55,1
SBV092_plate02,SBV005_plate01,52,1
SBV093_plate02,SBV005_plate01,54,1
SBV094_plate02,SBV005_plate01,53,1
SBV095_plate02,SBV005_plate01,54,1
SBV096_plate02,SBV005_plate01,51,1
SBV097_plate02,SBV005_plate01,51,1
SBV098_plate02,SBV005_plate01,53,1
SBV099_plate02,SBV005_plate01,48,1
SBV100_plate02,SBV005_plate01,55,1
SBV101_plate02,SBV005_plate01,52,1
SBV102_plate02,SBV005_plate01,59,1
SBV103_plate02,SBV005_plate01,55,1
SBV104_plate02,SBV005_plate01,55,1
SBV105_plate02,SBV005_plate01,53,1
SBV106_plate02,SBV005_plate01,52,1
SBV107_plate02,SBV005_plate01,56,1
SBV108_plate02,SBV005_plate01,52,1
