Isolate	level_1
SGV004|2005.64109589041	A
SGV021|2019.22739726027	B
SGV022|2019.62191780822	A
SGV023|2019.17534246575	C
SGV025|2019.60821917808	B
SGV026|2019.65205479452	B
SGV028|2019.76164383562	C
SGV031|2020.85792349727	C
SGV032|2020.84153005464	C
SGV033|2020.45901639344	B
SGV034|2020.8606557377	C
SGV035|2020.2868852459	B
SGV036|2020.27049180328	B
SGV037|2020.33879781421	B
SGV038|2020.38797814208	C
SGV039|2020.08743169399	B
SGV040|2020.43715846995	C
SGV041|2020.5737704918	B
SGV042|2020.66393442623	D
SGV043|2020.68306010929	B
SGV044|2020.73224043716	B
SGV045|2020.82786885246	C
SGV046|2020.95081967213	A
SGV047|2021.76438356164	B
SGV048|2021.20547945205	A
SGV049|2021.09589041096	C
SGV050|2021.41369863014	A
SGV051|2021.27671232877	C
SGV052|2021.27945205479	A
SGV053|2021.31780821918	A
SGV054|2020.53825136612	B
SGV055|2021.49315068493	A
SGV056|2021.58356164384	A
SGV057|2021.57534246575	A
SGV058|2021.61369863014	A
SGV059|2021.64383561644	A
SGV060|2021.74246575342	C
SGV061|2021.76712328767	D
SGV062|2021.78356164384	A
SGV063|2021.83287671233	B
SGV064|2021.84383561644	C
SGV065|2021.8602739726	D
SGV066|2022.10410958904	B
SGV067|2022.1095890411	A
SGV068|2022.18904109589	B
SGV069|2022.31780821918	C
SGV070|2022.31780821918	A
SGV071|2022.33424657534	A
SGV072|2022.47123287671	C
SGV073|2022.48493150685	A
SGV075|2022.55342465753	A
SGV077|2022.6602739726	A
SGV078|2022.68219178082	A
SGV079|2022.7397260274	C
SGV080|2022.87123287671	A
