label,id,source,year
SBV005_plate01|2004.87158469945,SBV005_plate01,Human,2004
SBV007_plate01|2015.66849315068,SBV007_plate01,Bovine,2015
SBV010_plate01|2007.42739726027,SBV010_plate01,Porcine,2007
SBV011_plate01|2008.65300546448,SBV011_plate01,Human,2008
SBV019_plate01|2011.87945205479,SBV019_plate01,Bovine,2011
SBV021_plate01|2012.04644808743,SBV021_plate01,Human,2012
SBV022_plate01|2012.12295081967,SBV022_plate01,Human,2012
SBV023_plate01|2016.75683060109,SBV023_plate01,Bovine,2016
SBV024_plate01|2012.54371584699,SBV024_plate01,Equine,2012
SBV025_plate01|2012.77595628415,SBV025_plate01,Bovine,2012
SBV027_plate01|2013.27397260274,SBV027_plate01,Human,2013
SBV029_plate01|2013.6301369863,SBV029_plate01,Bovine,2013
SBV030_plate01|2014.0904109589,SBV030_plate01,Human,2014
SBV032_plate01|2014.41917808219,SBV032_plate01,Canine,2014
SBV033_plate01|2014.42739726027,SBV033_plate01,Feline,2014
SBV035_plate01|2014.99726027397,SBV035_plate01,Human,2015
SBV036_plate01|2015,SBV036_plate01,Human,2015
SBV037_plate01|2015.02465753425,SBV037_plate01,Human,2015
SBV038_plate01|2015.11506849315,SBV038_plate01,Human,2015
SBV039_plate01|2015.30136986301,SBV039_plate01,Human,2015
SBV040_plate03|2015.33698630137,SBV040_plate03,Human,2015
SBV041_plate01|2015.43287671233,SBV041_plate01,Human,2015
SBV042_plate01|2015.70136986301,SBV042_plate01,Human,2015
SBV043_plate01|2015.20821917808,SBV043_plate01,Bovine,2015
SBV044_plate01|2015.32054794521,SBV044_plate01,Bovine,2015
SBV045_plate01|2015.34794520548,SBV045_plate01,Bovine,2015
SBV046_plate01|2015.37534246575,SBV046_plate01,Bovine,2015
SBV047_plate01|2015.38082191781,SBV047_plate01,Bovine,2015
SBV048_plate01|2015.33698630137,SBV048_plate01,Bovine,2015
SBV049_plate01|2015.37534246575,SBV049_plate01,Bovine,2015
SBV050_plate01|2015.4904109589,SBV050_plate01,Bovine,2015
SBV051_plate01|2015.42465753425,SBV051_plate01,Bovine,2015
SBV052_plate01|2015.49863013699,SBV052_plate01,Bovine,2015
SBV053_plate01|2015.55068493151,SBV053_plate01,UI Animal,2015
SBV054_plate01|2015.60547945205,SBV054_plate01,Bovine,2015
SBV055_plate01|2015.61643835616,SBV055_plate01,Bovine,2015
SBV057_plate01|2015.63287671233,SBV057_plate01,Canine,2015
