ID,Source
SBV035,Human
SBV036,Human
SBV037,Human
SBV038,Human
SBV039,Human
SBV041,Human
SBV042,Human
SBV043,Bovine
SBV044,Bovine
SBV045,Bovine
SBV046,Bovine
SBV047,Bovine
SBV048,Bovine
SBV049,Bovine
SBV050,Bovine
SBV051,Bovine
SBV052,Bovine
SBV053,UI Animal
SBV054,Bovine
SBV055,Bovine
SBV057,Canine
SBV058,Bovine
SBV059,Bovine
SBV060,Bovine
SBV061,Bovine
SBV062,Bovine
SBV063,Feline
SBV064,Bovine
SBV067,Bovine
SBV068,Bovine
SBV069,Bovine
SBV070,Bovine
SBV071,Bovine
SBV072,Human
SBV075,Human
SBV076,Human
SBV077,Human
SBV078,Human
SBV079,Human
SBV080,Human
SBV081,Human
SBV082,Human
SBV083,Human
SBV084,Bovine
SBV087,Feline
SBV088,Bovine
SBV089,Bovine
SBV090,Bovine
SBV091,Bovine
SBV092,Bovine
SBV093,Canine
SBV094,Bovine
SBV095,Bovine
SBV096,Bovine
SBV097,Bovine
SBV098,Bovine
SBV099,Bovine
SBV100,Bovine
SBV101,Bovine
SBV102,Bovine
SBV103,Bovine
SBV104,Bovine
SBV105,Bovine
SBV106,Bovine
SBV107,Bovine
SBV108,Bovine
SBV109,Bovine
SBV110,Bovine
SBV111,Bovine
SBV112,Bovine
SBV113,Human
SBV114,Human
SBV115,Human
SBV116,Human
SBV117,Human
SBV118,Human
SBV119,Human
SBV121,Human
SBV122,Human
SBV123,Human
SBV124,Ovine
SBV125,Bovine
SBV127,Bovine
SBV128,Bovine
SBV130,Bovine
SBV132,Bovine
SBV133,Bovine
SBV134,Bovine
SBV135,Feline
SBV136,Equine
SBV138,Bovine
SBV139,Bovine
SBV140,Bovine
SBV141,Bovine
SBV142,Bovine
SBV143,Bovine
SBV144,Bovine
SBV145,Canine
SBV146,Bovine
SBV147,Bovine
SBV148,Bovine
SBV150,Bovine
SBV151,Bovine
SBV152,Bovine
SBV153,Bovine
SBV156,Human
SBV157,Human
SBV158,Human
SBV159,Human
SBV160,Human
SBV161,Human
SBV162,Human
SBV163,Human
SBV164,Human
SBV165,Human
SBV166,Human
SBV167,Human
SBV168,Human
SBV169,Human
SBV170,Human
SBV171,Ovine
SBV172,Bovine
SBV173,Bovine
SBV174,Bovine
SBV175,Bovine
SBV176,Canine
SBV218,Bovine
SBV234,Bovine
SBV235,Bovine
SBV240,Bovine
SBV257,Bovine
SBV269,Bovine
SBV270,Bovine
SBV271,Bovine
SBV272,Bovine
SBV273,Bovine
SBV274,Bovine
SBV275,Bovine
SBV276,Bovine
SBV277,Bovine
SBV278,Bovine
SBV279,Bovine
SBV280,Bovine
SBV281,Bovine
SBV282,Bovine
SBV283,Bovine
SBV284,Canine
SBV285,Bovine
SBV286,Bovine
SBV287,Bovine
SBV288,Bovine
SBV289,Bovine
SBV290,Feline
SBV291,Bovine
SBV292,Bovine
SBV293,Human
SBV294,Human
SBV295,Human
SBV296,Human
SBV297,Human
SBV298,Human
SBV299,Human
SBV300,Human
SBV301,Human
SBV302,Human
SBV305,Human
SBV306,Human
SBV307,Bovine
SBV308,Bovine
SBV310,Bovine
SBV311,Bovine
SBV312,Bovine
SBV313,Canine
SBV314,Bovine
SBV315,Bovine
SBV316,Bovine
SBV317,Bovine
SBV318,Ovine
SBV319,Porcine
SBV320,Bovine
SBV321,Bovine
SBV322,Bovine
SBV323,Bovine
SBV324,Bovine
SBV325,Bovine
SBV326,Bovine
SBV327,Bovine
SBV328,Bovine
SBV329,Bovine
SBV330,Bovine
SBV331,Bovine
SBV332,Bovine
SBV333,Feline
SBV334,Bovine
SBV335,Bovine
SBV336,Bovine
SBV337,Bovine
SBV338,Human
SBV339,Human
SBV340,Human
SBV341,Human
SBV343,Bovine
SBV344,Human
SBV345,Feline
SBV347,Human
SBV348,Ovine
SBV349,Human
SBV350,Human
SBV351,Human
SBV352,Canine
SBV353,Bovine
SBV354,Bovine
SBV355,Equine
SBV356,Human
SBV357,Bovine
SBV358,Bovine
SBV359,Bovine
SBV361,Bovine
SBV362,Bovine
SBV363,Bovine
SBV364,Human
SBV365,Bovine
SBV366,Bovine
SBV367,Human
SBV368,Bovine
SBV369,Bovine
SBV370,Canine
SBV371,Bovine
SBV372,Human
SBV373,Bovine
SBV374,Avian
SBV375,Bovine
SBV376,Bovine
